1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
222030;Sonstige Tatörtlichkeit bei Beteiligung an einer Schlägerei ohne Todesfolge § 231 StGB;voll.;11;11;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222030;Sonstige Tatörtlichkeit bei Beteiligung an einer Schlägerei ohne Todesfolge § 231 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222030;Sonstige Tatörtlichkeit bei Beteiligung an einer Schlägerei ohne Todesfolge § 231 StGB;insg.;11;11;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222040;Verstümmelung weiblicher Genitalien § 226a StGB;voll.;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222040;Verstümmelung weiblicher Genitalien § 226a StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222040;Verstümmelung weiblicher Genitalien § 226a StGB;insg.;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222100;Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;voll.;54,109;44,786;9,323;36,201;30,687;5,514;1,731;1,359;372;859;700;159;406;323;83;213;165;48;129;86;43;124;85;39
222100;Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;vers.;10,143;7,695;2,448;7,891;6,122;1,769;631;464;167;299;224;75;125;90;35;88;63;25;40;24;16;79;63;16
222100;Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;insg.;64,252;52,481;11,771;44,092;36,809;7,283;2,362;1,823;539;1,158;924;234;531;413;118;301;228;73;169;110;59;203;148;55
222110;Gefährliche Körperverletzung § 224 StGB auf Straßen, Wegen oder Plätzen;voll.;53,944;44,641;9,303;36,090;30,590;5,500;1,721;1,354;367;854;696;158;406;323;83;213;165;48;126;86;40;122;84;38
222110;Gefährliche Körperverletzung § 224 StGB auf Straßen, Wegen oder Plätzen;vers.;10,122;7,683;2,439;7,876;6,113;1,763;630;463;167;299;224;75;124;89;35;88;63;25;40;24;16;79;63;16
222110;Gefährliche Körperverletzung § 224 StGB auf Straßen, Wegen oder Plätzen;insg.;64,066;52,324;11,742;43,966;36,703;7,263;2,351;1,817;534;1,153;920;233;530;412;118;301;228;73;166;110;56;201;147;54
222120;Schwere Körperverletzung auf Straßen, Wegen oder Plätzen § 226 StGB;voll.;137;117;20;100;86;14;10;5;5;5;4;1;0;0;0;0;0;0;3;0;3;2;1;1
222120;Schwere Körperverletzung auf Straßen, Wegen oder Plätzen § 226 StGB;vers.;21;12;9;15;9;6;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
222120;Schwere Körperverletzung auf Straßen, Wegen oder Plätzen § 226 StGB;insg.;158;129;29;115;95;20;11;6;5;5;4;1;1;1;0;0;0;0;3;0;3;2;1;1
222130;Beteiligung an einer Schlägerei ohne Todesfolge auf Straßen, Wegen oder Plätzen § 231 StGB;voll.;28;28;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222130;Beteiligung an einer Schlägerei ohne Todesfolge auf Straßen, Wegen oder Plätzen § 231 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222130;Beteiligung an einer Schlägerei ohne Todesfolge auf Straßen, Wegen oder Plätzen § 231 StGB;insg.;28;28;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223000;Misshandlung von Schutzbefohlenen § 225 StGB;voll.;5,702;2,936;2,766;625;225;400;488;157;331;25;10;15;33;11;22;41;19;22;69;30;39;320;87;233
223000;Misshandlung von Schutzbefohlenen § 225 StGB;vers.;92;57;35;8;3;5;7;3;4;0;0;0;1;1;0;0;0;0;2;1;1;4;1;3
223000;Misshandlung von Schutzbefohlenen § 225 StGB;insg.;5,794;2,993;2,801;633;228;405;495;160;335;25;10;15;34;12;22;41;19;22;71;31;40;324;88;236
223001;Misshandlung Schutzbefohlener ab 14 Jahren;voll.;1,315;488;827;625;225;400;488;157;331;25;10;15;33;11;22;41;19;22;69;30;39;320;87;233
223001;Misshandlung Schutzbefohlener ab 14 Jahren;vers.;14;8;6;8;3;5;7;3;4;0;0;0;1;1;0;0;0;0;2;1;1;4;1;3
223001;Misshandlung Schutzbefohlener ab 14 Jahren;insg.;1,329;496;833;633;228;405;495;160;335;25;10;15;34;12;22;41;19;22;71;31;40;324;88;236
223100;Misshandlung von Kindern;voll.;4,387;2,448;1,939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223100;Misshandlung von Kindern;vers.;78;49;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223100;Misshandlung von Kindern;insg.;4,465;2,497;1,968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;voll.;336,376;187,159;149,217;261,739;142,236;119,503;25,551;14,417;11,134;10,319;6,193;4,126;5,919;3,496;2,423;3,823;2,162;1,661;2,439;1,285;1,154;3,051;1,281;1,770
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;vers.;25,449;15,883;9,566;21,437;13,317;8,120;3,403;1,940;1,463;1,109;717;392;644;408;236;432;263;169;262;155;107;956;397;559
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;insg.;361,825;203,042;158,783;283,176;155,553;127,623;28,954;16,357;12,597;11,428;6,910;4,518;6,563;3,904;2,659;4,255;2,425;1,830;2,701;1,440;1,261;4,007;1,678;2,329
225000;Fahrlässige Körperverletzung § 229 StGB;voll.;22,116;11,523;10,593;17,189;8,893;8,296;4,090;1,936;2,154;1,226;634;592;964;483;481;629;317;312;510;232;278;761;270;491
225000;Fahrlässige Körperverletzung § 229 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225000;Fahrlässige Körperverletzung § 229 StGB;insg.;22,116;11,523;10,593;17,189;8,893;8,296;4,090;1,936;2,154;1,226;634;592;964;483;481;629;317;312;510;232;278;761;270;491
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;voll.;253,616;138,665;114,951;212,975;117,201;95,774;25,635;15,948;9,687;11,035;7,023;4,012;6,573;4,158;2,415;3,766;2,319;1,447;2,172;1,324;848;2,089;1,124;965
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;vers.;6,100;3,084;3,016;4,863;2,610;2,253;637;391;246;278;183;95;165;106;59;87;52;35;49;27;22;58;23;35
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;insg.;259,716;141,749;117,967;217,838;119,811;98,027;26,272;16,339;9,933;11,313;7,206;4,107;6,738;4,264;2,474;3,853;2,371;1,482;2,221;1,351;870;2,147;1,147;1,000
231000;Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB;voll.;1,786;981;805;775;463;312;14;8;6;9;4;5;2;2;0;0;0;0;1;1;0;2;1;1
231000;Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB;vers.;204;89;115;78;26;52;3;2;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0
231000;Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB;insg.;1,990;1,070;920;853;489;364;17;10;7;10;5;5;3;3;0;1;0;1;1;1;0;2;1;1
231100;Menschenraub § 234 StGB;voll.;4;3;1;3;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
231100;Menschenraub § 234 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231100;Menschenraub § 234 StGB;insg.;4;3;1;3;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
231200;Entziehung Minderjähriger § 235 StGB;voll.;1,770;972;798;772;461;311;13;8;5;9;4;5;2;2;0;0;0;0;1;1;0;1;1;0
231200;Entziehung Minderjähriger § 235 StGB;vers.;199;85;114;78;26;52;3;2;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0
231200;Entziehung Minderjähriger § 235 StGB;insg.;1,969;1,057;912;850;487;363;16;10;6;10;5;5;3;3;0;1;0;1;1;1;0;1;1;0
231210;Entziehung Minderjähriger gegen Entgelt oder in Bereicherungsabsicht § 235 Abs. 4 Nr. 2 StGB;voll.;13;7;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231210;Entziehung Minderjähriger gegen Entgelt oder in Bereicherungsabsicht § 235 Abs. 4 Nr. 2 StGB;vers.;2;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231210;Entziehung Minderjähriger gegen Entgelt oder in Bereicherungsabsicht § 235 Abs. 4 Nr. 2 StGB;insg.;15;7;8;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231279;Sonstige Entziehung Minderjähriger § 235 StGB;voll.;1,757;965;792;768;457;311;13;8;5;9;4;5;2;2;0;0;0;0;1;1;0;1;1;0
231279;Sonstige Entziehung Minderjähriger § 235 StGB;vers.;197;85;112;77;26;51;3;2;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0
231279;Sonstige Entziehung Minderjähriger § 235 StGB;insg.;1,954;1,050;904;845;483;362;16;10;6;10;5;5;3;3;0;1;0;1;1;1;0;1;1;0
231300;Kinderhandel § 236 StGB;voll.;12;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231300;Kinderhandel § 236 StGB;vers.;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231300;Kinderhandel § 236 StGB;insg.;17;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232000;Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB;voll.;251,234;137,461;113,773;211,801;116,576;95,225;25,608;15,935;9,673;11,018;7,016;4,002;6,570;4,155;2,415;3,765;2,319;1,446;2,170;1,322;848;2,085;1,123;962
232000;Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB;vers.;5,838;2,978;2,860;4,748;2,574;2,174;629;386;243;277;182;95;164;105;59;81;49;32;49;27;22;58;23;35
232000;Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB;insg.;257,072;140,439;116,633;216,549;119,150;97,399;26,237;16,321;9,916;11,295;7,198;4,097;6,734;4,260;2,474;3,846;2,368;1,478;2,219;1,349;870;2,143;1,146;997
232100;Freiheitsberaubung § 239 StGB;voll.;5,329;2,050;3,279;3,846;1,489;2,357;472;202;270;118;51;67;81;36;45;72;43;29;48;25;23;153;47;106
232100;Freiheitsberaubung § 239 StGB;vers.;248;68;180;137;38;99;17;5;12;5;2;3;1;0;1;2;0;2;3;1;2;6;2;4
232100;Freiheitsberaubung § 239 StGB;insg.;5,577;2,118;3,459;3,983;1,527;2,456;489;207;282;123;53;70;82;36;46;74;43;31;51;26;25;159;49;110
232200;Nötigung § 240 StGB;voll.;68,401;41,288;27,113;59,871;36,970;22,901;8,930;6,280;2,650;3,913;2,781;1,132;2,325;1,699;626;1,298;892;406;741;511;230;653;397;256
232200;Nötigung § 240 StGB;vers.;5,539;2,904;2,635;4,596;2,532;2,064;612;381;231;272;180;92;163;105;58;79;49;30;46;26;20;52;21;31
232200;Nötigung § 240 StGB;insg.;73,940;44,192;29,748;64,467;39,502;24,965;9,542;6,661;2,881;4,185;2,961;1,224;2,488;1,804;684;1,377;941;436;787;537;250;705;418;287
232201;Nötigung im Straßenverkehr § 240 Abs. 1 StGB;voll.;33,606;22,731;10,875;31,307;21,377;9,930;4,382;3,415;967;1,994;1,531;463;1,196;945;251;659;514;145;314;254;60;219;171;48
232201;Nötigung im Straßenverkehr § 240 Abs. 1 StGB;vers.;513;336;177;476;314;162;55;40;15;23;16;7;20;15;5;9;7;2;1;1;0;2;1;1
232201;Nötigung im Straßenverkehr § 240 Abs. 1 StGB;insg.;34,119;23,067;11,052;31,783;21,691;10,092;4,437;3,455;982;2,017;1,547;470;1,216;960;256;668;521;147;315;255;60;221;172;49
232279;Sonstige Nötigung § 240 Abs. 1 und 4 StGB;voll.;34,795;18,557;16,238;28,564;15,593;12,971;4,548;2,865;1,683;1,919;1,250;669;1,129;754;375;639;378;261;427;257;170;434;226;208
232279;Sonstige Nötigung § 240 Abs. 1 und 4 StGB;vers.;5,026;2,568;2,458;4,120;2,218;1,902;557;341;216;249;164;85;143;90;53;70;42;28;45;25;20;50;20;30
232279;Sonstige Nötigung § 240 Abs. 1 und 4 StGB;insg.;39,821;21,125;18,696;32,684;17,811;14,873;5,105;3,206;1,899;2,168;1,414;754;1,272;844;428;709;420;289;472;282;190;484;246;238
232300;Bedrohung § 241 StGB;voll.;155,385;89,723;65,662;128,588;74,157;54,431;14,783;8,936;5,847;6,350;3,957;2,393;3,816;2,299;1,517;2,194;1,308;886;1,266;746;520;1,157;626;531
232300;Bedrohung § 241 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232300;Bedrohung § 241 StGB;insg.;155,385;89,723;65,662;128,588;74,157;54,431;14,783;8,936;5,847;6,350;3,957;2,393;3,816;2,299;1,517;2,194;1,308;886;1,266;746;520;1,157;626;531
232400;Nachstellung (Stalking) § 238 StGB;voll.;22,091;4,398;17,693;19,491;3,960;15,531;1,423;517;906;637;227;410;348;121;227;201;76;125;115;40;75;122;53;69
232400;Nachstellung (Stalking) § 238 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232400;Nachstellung (Stalking) § 238 StGB;insg.;22,091;4,398;17,693;19,491;3,960;15,531;1,423;517;906;637;227;410;348;121;227;201;76;125;115;40;75;122;53;69
232410;Nachstellung (Stalking) § 238, Abs. 1 StGB;voll.;21,909;4,364;17,545;19,346;3,931;15,415;1,416;515;901;634;226;408;346;121;225;201;76;125;115;40;75;120;52;68
232410;Nachstellung (Stalking) § 238, Abs. 1 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232410;Nachstellung (Stalking) § 238, Abs. 1 StGB;insg.;21,909;4,364;17,545;19,346;3,931;15,415;1,416;515;901;634;226;408;346;121;225;201;76;125;115;40;75;120;52;68
232420;Nachstellung (Stalking) § 238, Abs. 2 StGB;voll.;178;33;145;141;28;113;7;2;5;3;1;2;2;0;2;0;0;0;0;0;0;2;1;1
232420;Nachstellung (Stalking) § 238, Abs. 2 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232420;Nachstellung (Stalking) § 238, Abs. 2 StGB;insg.;178;33;145;141;28;113;7;2;5;3;1;2;2;0;2;0;0;0;0;0;0;2;1;1
232430;Nachstellung (Stalking) § 238, Abs. 3 StGB;voll.;4;1;3;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232430;Nachstellung (Stalking) § 238, Abs. 3 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232430;Nachstellung (Stalking) § 238, Abs. 3 StGB;insg.;4;1;3;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232500;Zwangsheirat § 237 StGB;voll.;28;2;26;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232500;Zwangsheirat § 237 StGB;vers.;51;6;45;15;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232500;Zwangsheirat § 237 StGB;insg.;79;8;71;20;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233000;Erpresserischer Menschenraub § 239a StGB;voll.;63;49;14;44;34;10;6;2;4;2;0;2;1;1;0;1;0;1;1;1;0;1;0;1
233000;Erpresserischer Menschenraub § 239a StGB;vers.;20;12;8;15;8;7;5;3;2;0;0;0;0;0;0;5;3;2;0;0;0;0;0;0
233000;Erpresserischer Menschenraub § 239a StGB;insg.;83;61;22;59;42;17;11;5;6;2;0;2;1;1;0;6;3;3;1;1;0;1;0;1
233079;Sonstiger erpresserischer Menschenraub;voll.;56;45;11;37;30;7;5;2;3;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1
233079;Sonstiger erpresserischer Menschenraub;vers.;18;11;7;13;7;6;3;2;1;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0
233079;Sonstiger erpresserischer Menschenraub;insg.;74;56;18;50;37;13;8;4;4;1;0;1;1;1;0;4;2;2;1;1;0;1;0;1
233100;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;voll.;3;2;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233100;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233100;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;insg.;3;2;1;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233200;Erpresserischer Menschenraub i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;voll.;4;2;2;4;2;2;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
233200;Erpresserischer Menschenraub i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;vers.;2;1;1;2;1;1;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0
233200;Erpresserischer Menschenraub i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;insg.;6;3;3;6;3;3;3;1;2;1;0;1;0;0;0;2;1;1;0;0;0;0;0;0
233300;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geld- und Werttransporte;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233300;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geld- und Werttransporte;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233300;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geld- und Werttransporte;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234000;Geiselnahme § 239b StGB;voll.;34;24;10;24;15;9;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
234000;Geiselnahme § 239b StGB;vers.;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234000;Geiselnahme § 239b StGB;insg.;36;24;12;26;15;11;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
234079;Sonstige Geiselnahme;voll.;31;24;7;21;15;6;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
234079;Sonstige Geiselnahme;vers.;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234079;Sonstige Geiselnahme;insg.;33;24;9;23;15;8;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
234100;Geiselnahme i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234100;Geiselnahme i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234100;Geiselnahme i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234200;Geiselnahme i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;voll.;3;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234200;Geiselnahme i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234200;Geiselnahme i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;insg.;3;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234300;Geiselnahme i.V.m. Raubüberfall auf Geld- und Werttransporte;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234300;Geiselnahme i.V.m. Raubüberfall auf Geld- und Werttransporte;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234300;Geiselnahme i.V.m. Raubüberfall auf Geld- und Werttransporte;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239100;Menschenhandel § 232 StGB;voll.;206;84;122;154;71;83;4;2;2;3;2;1;0;0;0;0;0;0;0;0;0;1;0;1
239100;Menschenhandel § 232 StGB;vers.;16;3;13;9;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239100;Menschenhandel § 232 StGB;insg.;222;87;135;163;72;91;4;2;2;3;2;1;0;0;0;0;0;0;0;0;0;1;0;1
239110;Handel zum Zweck der Ausbeutung bei Ausübung der Prostitution, der Vornahme sexueller Handlungen § 232 Abs. 1 Nr. 1a. Abs. 2 in Bezug auf Abs. 1 Nr. 1a, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 1a, Abs. 4 in Bezug auf Abs. 1 Nr. 1a StGB;voll.;111;13;98;76;12;64;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
239110;Handel zum Zweck der Ausbeutung bei Ausübung der Prostitution, der Vornahme sexueller Handlungen § 232 Abs. 1 Nr. 1a. Abs. 2 in Bezug auf Abs. 1 Nr. 1a, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 1a, Abs. 4 in Bezug auf Abs. 1 Nr. 1a StGB;vers.;15;2;13;9;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239110;Handel zum Zweck der Ausbeutung bei Ausübung der Prostitution, der Vornahme sexueller Handlungen § 232 Abs. 1 Nr. 1a. Abs. 2 in Bezug auf Abs. 1 Nr. 1a, Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1 Nr. 1a, Abs. 4 in Bezug auf Abs. 1 Nr. 1a StGB;insg.;126;15;111;85;13;72;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
239120;"Handel zum Zweck der Ausbeutung durch eine Beschäftigung § 232 StGB Abs. 1, Nr. 1 b); Abs. 2 in Bezug auf Abs. 1 Nr. 1b); Abs. 3 Nr. 1 bis 3 in Bezug auf Abs. 1, Nr. 1b); Abs. 4 in Bezug auf Abs. 1 Nr. 1b) StGB";voll.;68;52;16;58;44;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
